feature,rf_importance,xgb_importance,avg_importance
nist_longest_run_p,0.11080911442767549,0.29462516,0.2027171387529918
nist_longest_run_stat,0.08181367615357114,0.028899625,0.05535665054865218
shannon_entropy,0.055104863189383284,0.029005842,0.0420553527363757
compression_ratio,0.08126435883789522,0.0,0.04063217941894761
nist_block_freq_p,0.049000398734398626,0.027168375,0.03808438662150897
nist_block_freq_stat,0.051690217508253006,0.01591918,0.03380469904759355
min_entropy,0.040798263754816,0.022925815,0.03186203918425796
nist_serial_p1,0.029440979635307955,0.02953035,0.029485664877091727
nist_approx_entropy_apen,0.031885927792604456,0.025463343,0.028674635229615216
autocorr_lag_4,0.024850350516663025,0.031969566,0.028409958207421517
nist_approx_entropy_stat,0.029393933054577964,0.025376357,0.027385145096367428
nist_cusum_bwd_stat,0.018146340072085477,0.03659803,0.027372185274923848
nist_approx_entropy_p,0.029153318350317058,0.023935013,0.026544165434838323
nist_serial_delta1,0.022411396027965533,0.03020345,0.026307423249564164
nist_serial_p2,0.020767119337934042,0.03144958,0.02610834902019192
nist_cusum_fwd_p,0.019986279425822293,0.02975526,0.024870770110588566
nist_serial_delta2,0.019947088102121514,0.029606324,0.024776705895671925
nist_frequency_p,0.020852453528039817,0.028158665,0.024505559115704477
max_probability,0.046537268660250895,0.0,0.023268634330125448
autocorr_lag_16,0.022779350864459588,0.022697961,0.02273865591117219
autocorr_lag_2,0.021886143530605646,0.022561722,0.022223932517170118
nist_cusum_bwd_p,0.01798027938838751,0.02627072,0.022125499316731845
autocorr_lag_8,0.020369160656725484,0.023027267,0.02169821398188428
run_std,0.016763837021136957,0.026073826,0.021418831749034264
nist_runs_p,0.01526996785367795,0.025933584,0.020601776026016812
nist_runs_stat,0.012465233877716475,0.028617166,0.020541199930219856
nist_cusum_fwd_stat,0.0213990463759007,0.018021837,0.019710441626384953
run_mean,0.011883652986702598,0.025973605,0.018928628989367324
nist_frequency_stat,0.018206910312788108,0.019304287,0.018755598500677158
run_max,0.010536868973907494,0.020928059,0.015732463873593342
num_runs,0.013552389760751814,0.0,0.006776194880375907
autocorr_lag_1,0.013053811287556862,0.0,0.006526905643778431
